exp,dirname,file_found,precision,building_block,design_size,fpga_arch,critical_path,frequency,logic_area,routing_area,total_area,area_delay_product,channel_width,average_net_length,max_net_length,average_wire_segments_per_net,max_segments_used_by_a_net,total_routed_wire_length,resource_usage_clb,resource_usage_dsp,resource_usage_matmul,resource_usage_memory
16x16_matmul_int8,16x16_from_8x8.int8.fpga_with_dsp,Yes,int8,8x8,16x16,dsp,5.82236,171.752,5.03647e+07,29761723.364044417,80126423.36404441,466524882.33787763,122,24.2108,880,6.05951,220,51215,487,128,0,24
16x16_matmul_int8,16x16_from_8x8.int8.fpga_with_matmul,Yes,int8,8x8,16x16,matmul,2.00923,497.703,1.01638e+07,3231159.9338530595,13394959.93385306,26913555.347895585,162,36.7828,246,9.23022,62,15636,64,0,4,24
16x16_matmul_fp16,16x16_from_4x4.fp16.fpga_with_matmul,Yes,fp16,4x4,16x16,matmul,2.27923,438.745,2.71231e+07,7389026.695015357,34512126.695015356,78661074.52707985,214,28.0584,304,7.02533,76,35506,118,0,16,48
16x16_matmul_fp16,16x16_from_4x4.fp16.fpga_with_dsp,Yes,fp16,4x4,16x16,dsp,7.06157,141.612,1.02293e+08,61066944.247578554,163359944.24757856,1153577681.5003734,176,25.5743,2480,6.39708,620,110516,1031,256,0,48
16x16_matmul_int8,16x16_from_8x8.int8.fpga_with_dsp,Yes,int8,8x8,16x16,dsp,6.00393,166.558,5.03647e+07,29761723.364044417,80126423.36404441,481073437.0280872,104,24.2384,900,6.06649,225,51274,487,128,0,24
16x16_matmul_int8,16x16_from_8x8.int8.fpga_with_matmul,Yes,int8,8x8,16x16,matmul,2.28823,437.019,1.01638e+07,3231159.9338530595,13394959.93385306,30650749.169440586,166,35.1405,204,8.82586,51,14951,64,0,4,24
16x16_matmul_fp16,16x16_from_4x4.fp16.fpga_with_dsp,Yes,fp16,4x4,16x16,dsp,7.66713,130.427,1.02293e+08,61066944.247578554,163359944.24757856,1252501929.338937,162,26.0276,2176,6.51059,544,112477,1031,256,0,48
16x16_matmul_fp16,16x16_from_4x4.fp16.fpga_with_matmul,Yes,fp16,4x4,16x16,matmul,2.27923,438.745,2.71231e+07,7389026.695015357,34512126.695015356,78661074.52707985,254,26.5265,304,6.64226,76,33570,118,0,16,48
16x16_matmul_int8,16x16_from_8x8.int8.fpga_with_matmul,Yes,int8,8x8,16x16,matmul,2.00923,497.703,1.01638e+07,3231159.9338530595,13394959.93385306,26913555.347895585,172,32.9628,229,8.27863,59,14024,64,0,4,24
16x16_matmul_int8,16x16_from_8x8.int8.fpga_with_dsp,Yes,int8,8x8,16x16,dsp,5.40656,184.96,5.03647e+07,29761723.364044417,80126423.36404441,433208315.50310796,120,23.5761,1000,5.90133,250,49878,487,128,0,24
